ticker,status,reason,start_date,end_date,updated_at,source
BBSS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bumi Benowo Sukses Sejahtera Tbk. (BBSS),2025-05-21,2025-06-04,2026-03-03,idx_announcement_suspend
BBSS,UMA,UMA atas Saham PT Bumi Benowo Sukses Sejahtera Tbk (BBSS),2024-03-21,2024-04-04,2026-03-03,idx_announcement_uma
BCAP,UMA,UMA atas Saham PT MNC Kapital Indonesia Tbk (BCAP),2024-08-23,2024-09-06,2026-03-03,idx_announcement_uma
BCIC,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bank JTrust Indonesia Tbk (BCIC),2024-10-09,2024-10-23,2026-03-03,idx_announcement_suspend
BCIC,UMA,UMA atas Saham PT Bank JTrust Indonesia Tbk (BCIC),2024-10-02,2024-10-16,2026-03-03,idx_announcement_uma
BCIP,UMA,UMA atas Saham PT Bumi Citra Permai Tbk. (BCIP),2025-06-02,2025-06-16,2026-03-03,idx_announcement_uma
BDKR,SUSPEND,Penghentian Sementara Perdagangan Saham PT Berdikari Pondasi Perkasa Tbk. (BDKR),2024-11-15,2024-11-29,2026-03-03,idx_announcement_suspend
BDKR,UMA,UMA atas Saham PT Berdikari Pondasi Perkasa Tbk. (BDKR),2024-11-07,2024-11-21,2026-03-03,idx_announcement_uma
BEBS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Berkah Beton Sadaya Tbk. (BEBS),2023-06-15,2023-06-29,2026-03-03,idx_announcement_suspend
BEBS,UMA,UMA atas Saham PT Berkah Beton Sadaya Tbk. (BEBS),2023-06-12,2023-06-26,2026-03-03,idx_announcement_uma
BEEF,SUSPEND,Penghentian Sementara Perdagangan Saham PT Estika Tata Tiara Tbk. (BEEF),2025-05-14,2025-05-28,2026-03-03,idx_announcement_suspend
BEEF,UMA,UMA atas Saham PT Estika Tata Tiara Tbk (BEEF),2023-11-23,2023-12-07,2026-03-03,idx_announcement_uma
BEER,UMA,UMA atas Saham PT Jobubu Jarum Minahasa Tbk. (BEER),2025-08-19,2025-09-02,2026-03-03,idx_announcement_uma
BELL,SUSPEND,Penghentian Sementara Perdagangan Saham PT Trisula Textile Industries Tbk. (BELL),2026-01-19,2026-02-02,2026-03-03,idx_announcement_suspend
BELL,UMA,UMA atas Saham PT Trisula Textile Industries Tbk (BELL),2024-09-03,2024-09-17,2026-03-03,idx_announcement_uma
BESS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Batulicin Nusantara Maritim Tbk. (BESS),2025-02-24,2025-03-10,2026-03-03,idx_announcement_suspend
BESS,UMA,UMA atas Saham PT Batulicin Nusantara Maritim Tbk. (BESS),2024-10-14,2024-10-28,2026-03-03,idx_announcement_uma
BHAT,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bhakti Multi Artha Tbk. (BHAT),2025-11-26,2025-12-10,2026-03-03,idx_announcement_suspend
BHAT,UMA,UMA atas Saham PT Bhakti Multi Artha Tbk (BHAT),2023-03-21,2023-04-04,2026-03-03,idx_announcement_uma
BIKE,UMA,UMA atas Saham PT Sepeda Bersama Indonesia Tbk. (BIKE),2025-04-23,2025-05-07,2026-03-03,idx_announcement_uma
BIMA,SUSPEND,Penghentian Sementara Perdagangan Efek Primarindo Asia Infrastructure Tbk (BIMA),2025-11-19,2025-12-03,2026-03-03,idx_announcement_suspend
BIMA,UMA,UMA atas Saham PT Primarindo Asia Infrastructure Tbk (BIMA),2024-09-25,2024-10-09,2026-03-03,idx_announcement_uma
BINO,UMA,UMA atas Saham PT Perma Plasindo Tbk. (BINO),2024-09-04,2024-09-18,2026-03-03,idx_announcement_uma
BIPI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Astrindo Nusantara Infrastruktur Tbk. (BIPI),2026-01-07,2026-01-21,2026-03-03,idx_announcement_suspend
BIPI,UMA,UMA atas Saham PT Astrindo Nusantara Infrastruktur Tbk (BIPI),2023-12-22,2024-01-05,2026-03-03,idx_announcement_uma
BIPP,UMA,UMA atas Saham PT Bhuwanatala Indah Permai Tbk. (BIPP),2026-02-26,2026-03-12,2026-03-03,idx_announcement_uma
BKDP,UMA,UMA atas Saham PT Bukit Darmo Property Tbk (BKDP),2023-10-23,2023-11-06,2026-03-03,idx_announcement_uma
BLOG,UMA,UMA atas Saham PT Trimitra Trans Persada Tbk. (BLOG),2025-07-16,2025-07-30,2026-03-03,idx_announcement_uma
BLTZ,SUSPEND,Penghentian Sementara Perdagangan Saham PT Graha Layar Prima Tbk (BLTZ),2023-11-29,2023-12-13,2026-03-03,idx_announcement_suspend
BLTZ,UMA,UMA atas Saham PT Graha Layar Prima Tbk (BLTZ),2023-11-28,2023-12-12,2026-03-03,idx_announcement_uma
BLUE,SUSPEND,Penghentian Sementara Perdagangan Saham PT Berkah Prima Perkasa Tbk. (BLUE),2025-09-18,2025-10-02,2026-03-03,idx_announcement_suspend
BLUE,UMA,UMA atas Saham PT Berkah Prima Perkasa Tbk. (BLUE),2025-09-17,2025-10-01,2026-03-03,idx_announcement_uma
BMAS,UMA,UMA atas Saham PT Bank Maspion Indonesia Tbk (BMAS),2023-11-14,2023-11-28,2026-03-03,idx_announcement_uma
BMSR,UMA,UMA atas Saham PT Bintang Mitra Semestaraya Tbk (BMSR),2023-04-18,2023-05-02,2026-03-03,idx_announcement_uma
BNBA,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bank Bumi Arta Tbk. (BNBA),2026-01-19,2026-02-02,2026-03-03,idx_announcement_suspend
BNBA,UMA,UMA atas Saham PT Bank Bumi Arta Tbk (BNBA),2023-07-11,2023-07-25,2026-03-03,idx_announcement_uma
BNBR,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bakrie & Brothers Tbk (BNBR),2025-12-11,2025-12-25,2026-03-03,idx_announcement_suspend
BNBR,UMA,UMA atas Saham PT Bakrie & Brothers Tbk (BNBR),2025-12-05,2025-12-19,2026-03-03,idx_announcement_uma
BNLI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bank Permata Tbk. (BNLI),2025-09-29,2025-10-13,2026-03-03,idx_announcement_suspend
BNLI,UMA,UMA atas Saham PT Bank Permata Tbk. (BNLI),2025-02-25,2025-03-11,2026-03-03,idx_announcement_uma
BOAT,UMA,UMA atas Saham PT Newport Marine Services Tbk. (BOAT),2024-11-22,2024-12-06,2026-03-03,idx_announcement_uma
BOGA,SUSPEND,Penghentian Sementara Perdagangan Saham PT Bintang Oto Global Tbk. (BOGA),2025-11-26,2025-12-10,2026-03-03,idx_announcement_suspend
BOGA,UMA,UMA atas Saham PT Bintang Oto Global Tbk (BOGA),2023-03-20,2023-04-03,2026-03-03,idx_announcement_uma
BOLA,UMA,UMA atas Saham PT Bali Bintang Sejahtera Tbk. (BOLA),2025-08-05,2025-08-19,2026-03-03,idx_announcement_uma
BOSS,SUSPEND,Penghentian Sementara Perdagangan Efek PT Borneo Olah Sarana Sukses Tbk. (BOSS),2024-02-22,2024-03-07,2026-03-03,idx_announcement_suspend
BREN,SUSPEND,Penghentian Sementara Perdagangan Saham PT Barito Renewables Energy Tbk. (BREN),2023-11-09,2023-11-23,2026-03-03,idx_announcement_suspend
BREN,UMA,UMA atas Saham PT Barito Renewables Energy Tbk. (BREN),2023-10-17,2023-10-31,2026-03-03,idx_announcement_uma
BRMS,UMA,UMA atas Saham PT Bumi Resources Minerals Tbk. (BRMS),2025-10-02,2025-10-16,2026-03-03,idx_announcement_uma
BRPT,UMA,UMA atas Saham PT Barito Pacific Tbk (BRPT),2023-12-08,2023-12-22,2026-03-03,idx_announcement_uma
BRRC,SUSPEND,"Penghentian Sementara Perdagangan Saham & Waran Seri I PT Raja Roti Cemerlang Tbk. (BRRC, BRRC-W)",2025-01-17,2025-01-31,2026-03-03,idx_announcement_suspend
BRRC,UMA,UMA atas Saham PT Raja Roti Cemerlang Tbk. (BRRC),2025-01-16,2025-01-30,2026-03-03,idx_announcement_uma
BSBK,UMA,UMA atas Saham PT Wulandari Bangun Laksana Tbk. (BSBK),2024-07-17,2024-07-31,2026-03-03,idx_announcement_uma
BSIM,UMA,UMA atas Saham PT Bank Sinarmas Tbk. (BSIM),2026-01-08,2026-01-22,2026-03-03,idx_announcement_uma
BSML,UMA,UMA atas Saham PT Bintang Samudera Mandiri Lines Tbk. (BSML),2024-01-25,2024-02-08,2026-03-03,idx_announcement_uma
BSWD,UMA,UMA atas Saham PT Bank Of India Indonesia Tbk (BSWD),2024-03-28,2024-04-11,2026-03-03,idx_announcement_uma
BUAH,UMA,UMA atas Saham PT Segar Kumala Indonesia Tbk. (BUAH),2024-11-22,2024-12-06,2026-03-03,idx_announcement_uma
BUKK,UMA,UMA atas Saham PT Bukaka Teknik Utama Tbk. (BUKK),2025-11-24,2025-12-08,2026-03-03,idx_announcement_uma
BULL,UMA,UMA atas Saham PT Buana Lintas Lautan Tbk. (BULL),2024-02-26,2024-03-11,2026-03-03,idx_announcement_uma
BUVA,SUSPEND,Penghentian Sementara Perdagangan Efek PT Bukit Uluwatu Villa Tbk (BUVA),2023-04-14,2023-04-28,2026-03-03,idx_announcement_suspend
BUVA,UMA,UMA atas Saham PT Bukit Uluwatu Villa Tbk. (BUVA),2025-02-12,2025-02-26,2026-03-03,idx_announcement_uma
BWPT,SUSPEND,Penghentian Sementara Perdagangan Saham PT Eagle High Plantations Tbk. (BWPT),2025-08-20,2025-09-03,2026-03-03,idx_announcement_suspend
BWPT,UMA,UMA atas Saham PT Eagle High Plantations Tbk. (BWPT),2025-07-30,2025-08-13,2026-03-03,idx_announcement_uma
CAKK,UMA,UMA atas Saham PT Cahayaputra Asa Keramik Tbk. (CAKK),2025-09-29,2025-10-13,2026-03-03,idx_announcement_uma
CAMP,UMA,UMA atas Saham PT Campina Ice Cream Industry Tbk (CAMP),2024-06-12,2024-06-26,2026-03-03,idx_announcement_uma
CANI,SUSPEND,Penghentian Sementara Perdagangan Saham PT Capitol Nusantara Indonesia Tbk. (CANI),2025-12-11,2025-12-25,2026-03-03,idx_announcement_suspend
CANI,UMA,UMA atas Saham PT Capitol Nusantara Indonesia Tbk. (CANI),2025-12-08,2025-12-22,2026-03-03,idx_announcement_uma
CARE,SUSPEND,Penghentian Sementara Perdagangan Saham PT Metro Healthcare Indonesia Tbk. (CARE),2025-12-15,2025-12-29,2026-03-03,idx_announcement_suspend
CARE,UMA,UMA atas Saham PT Metro Healthcare Indonesia Tbk. (CARE),2023-05-09,2023-05-23,2026-03-03,idx_announcement_uma
CASA,UMA,UMA atas Saham PT Capital Financial Indonesia Tbk (CASA),2023-05-08,2023-05-22,2026-03-03,idx_announcement_uma
CASH,UMA,UMA atas Saham PT Cashlez Worldwide Indonesia Tbk. (CASH),2025-08-26,2025-09-09,2026-03-03,idx_announcement_uma
CBDK,UMA,UMA atas Saham PT Bangun Kosambi Sukses Tbk. (CBDK),2025-01-17,2025-01-31,2026-03-03,idx_announcement_uma
CBMF,SUSPEND,Penghentian Sementara Perdagangan Efek PT Cahaya Bintang Medan Tbk (CBMF),2024-06-20,2024-07-04,2026-03-03,idx_announcement_suspend
CBRE,SUSPEND,Penghentian Sementara Perdagangan Saham PT Cakra Buana Resources Energi Tbk. (CBRE),2025-06-17,2025-07-01,2026-03-03,idx_announcement_suspend
CBRE,UMA,UMA atas Saham PT Cakra Buana Resources Energi Tbk. (CBRE),2025-06-13,2025-06-27,2026-03-03,idx_announcement_uma
CBUT,UMA,UMA atas Saham PT Citra Borneo Utama Tbk. (CBUT),2024-04-19,2024-05-03,2026-03-03,idx_announcement_uma
CCSI,UMA,UMA atas Saham PT Communication Cable Systems Indonesia Tbk. (CCSI),2025-02-24,2025-03-10,2026-03-03,idx_announcement_uma
CDIA,SUSPEND,Penghentian Sementara Perdagangan Saham PT Chandra Daya Investasi Tbk. (CDIA),2025-07-16,2025-07-30,2026-03-03,idx_announcement_suspend
CDIA,UMA,UMA atas Saham PT Chandra Daya Investasi Tbk. (CDIA),2025-07-15,2025-07-29,2026-03-03,idx_announcement_uma
CENT,SUSPEND,Penghentian Sementara Perdagangan Saham PT Centratama Telekomunikasi Indonesia Tbk. (CENT),2025-04-22,2025-05-06,2026-03-03,idx_announcement_suspend
CENT,UMA,UMA atas Saham PT Centratama Telekomunikasi Indonesia Tbk. (CENT),2025-04-17,2025-05-01,2026-03-03,idx_announcement_uma
CGAS,SUSPEND,"Penghentian Sementara Perdagangan Saham & Waran Seri I PT Citra Nusantara Gemilang Tbk. (CGAS, CGAS-W)",2024-02-13,2024-02-27,2026-03-03,idx_announcement_suspend
CGAS,UMA,UMA atas Saham PT Citra Nusantara Gemilang Tbk. (CGAS),2024-01-30,2024-02-13,2026-03-03,idx_announcement_uma
CHEM,SUSPEND,Penghentian Sementara Perdagangan Saham PT Chemstar Indonesia Tbk. (CHEM),2025-08-11,2025-08-25,2026-03-03,idx_announcement_suspend
CHEM,UMA,UMA atas Saham PT Chemstar Indonesia Tbk. (CHEM),2024-04-22,2024-05-06,2026-03-03,idx_announcement_uma
CHIP,SUSPEND,Penghentian Sementara Perdagangan Saham PT Pelita Teknologi Global Tbk. (CHIP),2023-03-15,2023-03-29,2026-03-03,idx_announcement_suspend
CHIP,UMA,UMA atas Saham PT Pelita Teknologi Global Tbk. (CHIP),2023-09-19,2023-10-03,2026-03-03,idx_announcement_uma
CITY,SUSPEND,Penghentian Sementara Perdagangan Saham PT Natura City Developments Tbk. (CITY),2023-10-16,2023-10-30,2026-03-03,idx_announcement_suspend
CITY,UMA,UMA atas Saham PT Natura City Developments Tbk. (CITY),2023-10-11,2023-10-25,2026-03-03,idx_announcement_uma
CLAY,SUSPEND,Penghentian Sementara Perdagangan Saham PT Citra Putra Realty Tbk. (CLAY),2024-03-04,2024-03-18,2026-03-03,idx_announcement_suspend
CLAY,UMA,UMA atas Saham PT Citra Putra Realty Tbk. (CLAY),2024-02-27,2024-03-12,2026-03-03,idx_announcement_uma
CMNP,SUSPEND,"Penghentian Sementara Perdagangan Saham & Waran Seri I PT Citra Marga Nusaphala Persada Tbk. (CMNP, CMNP-W)",2025-01-20,2025-02-03,2026-03-03,idx_announcement_suspend
CMNP,UMA,UMA atas Saham PT Citra Marga Nusaphala Persada Tbk. (CMNP),2025-01-15,2025-01-29,2026-03-03,idx_announcement_uma
CMNT,UMA,UMA atas Saham PT Cemindo Gemilang Tbk. (CMNT),2023-03-24,2023-04-07,2026-03-03,idx_announcement_uma
CMPP,UMA,UMA atas Saham PT AirAsia Indonesia Tbk (CMPP),2024-09-12,2024-09-26,2026-03-03,idx_announcement_uma
CNTX,SUSPEND,Penghentian Sementara Perdagangan Efek PT Century Textile Industry Tbk (CNTX),2024-08-07,2024-08-21,2026-03-03,idx_announcement_suspend
COAL,SUSPEND,Penghentian Sementara Perdagangan Saham PT Black Diamond Resources Tbk. (COAL),2025-12-02,2025-12-16,2026-03-03,idx_announcement_suspend
COAL,UMA,UMA atas Saham PT Black Diamond Resources Tbk. (COAL),2025-12-01,2025-12-15,2026-03-03,idx_announcement_uma
COCO,SUSPEND,Penghentian Sementara Perdagangan Saham PT Wahana Interfood Nusantara Tbk. (COCO),2025-05-20,2025-06-03,2026-03-03,idx_announcement_suspend
COCO,UMA,UMA atas Saham PT Wahana Interfood Nusantara Tbk (COCO),2024-03-25,2024-04-08,2026-03-03,idx_announcement_uma
COIN,SUSPEND,Penghentian Sementara Perdagangan Saham PT Indokripto Koin Semesta Tbk. (COIN),2025-07-16,2025-07-30,2026-03-03,idx_announcement_suspend
COIN,UMA,UMA atas Saham PT Indokripto Koin Semesta Tbk. (COIN),2025-07-15,2025-07-29,2026-03-03,idx_announcement_uma
COWL,SUSPEND,Penghentian Sementara Perdagangan Efek COWELL DEVELOPMENT Tbk (COWL),2023-07-04,2023-07-18,2026-03-03,idx_announcement_suspend
CRAB,UMA,UMA atas Saham PT Toba Surimi Industries Tbk. (CRAB),2025-05-21,2025-06-04,2026-03-03,idx_announcement_uma
CRSN,UMA,UMA atas Saham PT Carsurin Tbk. (CRSN),2024-10-14,2024-10-28,2026-03-03,idx_announcement_uma
CSIS,SUSPEND,Penghentian Sementara Perdagangan Saham PT Cahayasakti Investindo Sukses Tbk. (CSIS),2025-11-18,2025-12-02,2026-03-03,idx_announcement_suspend
